code_metier,code_competence,poids,niveau_requis,est_actif,date_creation,date_mise_a_jour
OP006,COMP572,2.0,4.0,true,2025-09-03 13:57:48,2025-09-11 08:49:01
OP006,COMP576,2.0,4.0,true,2025-09-03 13:57:48,2025-09-11 08:49:16
OP006,COMP577,2.0,3.0,true,2025-09-03 13:57:48,2025-09-11 08:49:05
OP006,COMP578,2.0,3.0,true,2025-09-03 13:57:48,2025-09-11 08:49:12
OP006,COMP579,2.0,4.0,true,2025-09-03 13:57:48,2025-09-11 08:49:08
OP006,COMP58,2.0,4.0,true,2026-02-25 04:40:21,2026-02-25 04:40:41
OP006,COMP583,2.0,3.0,true,2025-09-03 13:57:49,2025-09-11 08:49:28
OP006,COMP585,2.0,4.0,true,2025-09-03 13:57:49,2025-09-11 08:49:24
OP006,COMP587,2.0,3.0,true,2025-09-03 13:57:49,2025-09-11 08:49:36
OP006,COMP588,2.0,4.0,true,2025-09-03 13:57:48,2025-09-11 08:49:20
OP006,COMP589,2.0,3.0,true,2025-09-03 13:57:49,2025-09-11 08:49:32
OP007,COMP129,2.0,3.0,true,2025-09-03 13:56:20,2025-09-11 07:28:53
OP007,COMP130,2.0,3.0,true,2025-09-03 13:56:20,2025-09-11 07:28:55
OP007,COMP131,2.0,2.0,true,2025-09-03 13:56:20,2025-09-11 07:28:57
OP007,COMP454,2.0,3.0,true,2025-09-03 13:56:20,2025-09-11 07:29:03
OP007,COMP456,2.0,2.0,true,2025-09-03 13:56:20,2025-09-11 07:29:04
OP007,COMP461,2.0,3.0,true,2025-09-03 13:56:20,2025-09-11 07:29:15
OP007,COMP490,2.0,3.0,true,2025-09-03 13:56:20,2025-09-11 07:29:14
OP007,COMP512,2.0,3.0,true,2025-09-03 13:56:20,2025-09-11 07:29:08
OP007,COMP542,2.0,3.0,true,2025-09-03 13:56:20,2025-09-11 07:29:01
OP007,COMP544,2.0,3.0,true,2025-09-03 13:56:20,2025-09-11 07:29:12
OP007,COMP553,2.0,2.0,true,2025-09-03 13:56:20,2025-09-11 07:29:06
OP007,COMP556,2.0,3.0,true,2025-09-03 13:56:21,2025-09-11 07:29:17
OP007,COMP565,2.0,3.0,true,2025-09-03 13:56:20,2025-09-11 07:29:10
OP007,COMP577,2.0,3.0,true,2025-09-03 13:56:21,2025-09-11 07:29:26
OP007,COMP578,2.0,3.0,true,2025-09-03 13:56:21,2025-09-11 07:29:32
OP007,COMP579,2.0,3.0,true,2025-09-03 13:56:21,2025-09-11 07:29:24
OP007,COMP581,2.0,3.0,true,2025-09-03 13:56:21,2025-09-11 07:29:21
OP007,COMP583,2.0,3.0,true,2025-09-03 13:56:21,2025-09-11 07:29:19
OP007,COMP588,2.0,3.0,true,2025-09-03 13:56:21,2025-09-11 07:29:30
OP007,COMP591,2.0,3.0,true,2025-09-03 13:56:21,2025-09-11 07:29:28
OP007,COMP594,2.0,3.0,true,2025-09-03 13:56:21,2025-09-11 07:29:33
OP007,COMP597,2.0,3.0,true,2025-09-03 13:56:21,2025-09-11 07:29:22
OP008,COMP11,2.0,2.0,true,2025-09-03 13:56:28,2025-09-11 07:34:30
OP008,COMP408,2.0,2.0,true,2025-09-03 13:56:28,2025-09-11 07:34:20
OP008,COMP459,2.0,3.0,true,2025-09-03 13:56:28,2025-09-11 07:34:32
OP008,COMP462,2.0,2.0,true,2025-09-03 13:56:29,2025-09-11 07:34:45
OP008,COMP467,2.0,3.0,true,2025-09-03 13:56:28,2025-09-11 07:34:38
OP008,COMP488,2.0,3.0,true,2025-09-03 13:56:29,2025-09-11 07:34:48
OP008,COMP503,2.0,2.0,true,2025-09-03 13:56:29,2025-09-11 07:34:41
OP008,COMP505,2.0,2.0,true,2025-09-03 13:56:29,2025-09-11 07:34:43
OP008,COMP558,2.0,3.0,true,2025-09-03 13:56:29,2025-09-11 07:34:50
OP008,COMP572,2.0,3.0,true,2025-09-03 13:56:28,2025-09-11 07:34:36
OP008,COMP575,2.0,3.0,true,2025-09-03 13:56:28,2025-09-11 07:34:34
OP008,COMP578,2.0,3.0,true,2025-09-03 13:56:29,2025-09-11 07:35:12
