code_competence,nom_competence,id_categorie_detention,date_mise_a_jour
COMP226,"Connaissance de l'organisation et des processus de l'Office applicables à l'activité ""relation client""",moderately_held,2025-09-03 13:38:11
COMP380,Outils de diagnostic et de gestion du patrimoine.,poorly_held,2025-09-03 13:38:23
COMP512,Exploiter une information,well_held,2025-09-03 13:38:38
COMP291,Réglementation thermique et labels pour le patrimoine bâti existant Typologie des risques,poorly_held,2025-09-03 13:38:15
COMP482,Conduire un partenariat,moderately_held,2025-09-03 13:38:34
COMP293,Techniques de planification,poorly_held,2025-09-03 13:38:16
COMP537,Modéliser un processus,moderately_held,2025-09-03 13:38:41
COMP330,Techniques d'inventaire,poorly_held,2025-09-03 13:38:19
COMP190,Règles de constructions dans le domaine du bâtiment,poorly_held,2025-09-03 13:38:08
COMP456,"Analyser un contexte, une problématique, une complexité",well_held,2025-09-03 13:38:31
COMP141,Connaissance des outils et des méthodes d'approvisionnement et de tenue de planning,poorly_held,2026-02-26 00:28:02
COMP598,Sens des responsabilités,well_held,2025-10-27 00:28:05
COMP477,"Concevoir un projet, une démarche",moderately_held,2025-09-03 13:38:33
COMP411,"Connaissance des sources d'information de veille, sur les tendances d'usage des utilisateurs finaux",poorly_held,2025-09-03 13:38:26
COMP351,Processus métier,poorly_held,2026-04-07 23:22:50
COMP507,Encadrer un groupe,poorly_held,2025-09-03 13:38:37
COMP590,Faire preuve d'autorité,well_held,2025-09-03 13:38:48
COMP231,"Vérification de la bonne application par les équipes opérationnelles des prestataires, des règles de l'art en vigueur pour chaque type d'opération considérée (câblage électrique, câblage optique, électronique, génie civil), ainsi que des règles de sécurité",poorly_held,2025-09-03 13:38:11
COMP584,Sens de l'innovation/Créativité,moderately_held,2025-09-03 13:38:47
COMP467,Argumenter,moderately_held,2025-09-03 13:38:32
COMP545,Planifier,moderately_held,2025-10-29 03:13:25
COMP535,"Mettre en œuvre une règle, une norme, une procédure, un protocole",well_held,2025-09-03 13:38:40
COMP473,Commander,well_held,2025-09-03 13:38:33
COMP312,"Connaissance des règles d'ingénierie, des matériels et équipements, des concepts et techniques d'architecture des réseaux.",poorly_held,2025-09-03 13:38:17
COMP587,Aptitude à l'écoute,well_held,2025-09-03 13:38:47
COMP30,"Environnement administratif, institutionnel et politique",moderately_held,2025-09-03 13:38:01
COMP179,"Connaissance des réseaux de télécommunications et de leurs caractéristiques (fonctionnalités, normes, standards et capacités)",moderately_held,2025-09-03 13:38:07
COMP136,Maitrise des SIG et des outils de gestion logistique,poorly_held,2025-09-03 13:38:05
COMP389,Architectures techniques et infrastructures des systèmes d'information,poorly_held,2025-09-03 13:38:24
COMP70,Gestion documentaire et de projets,poorly_held,2025-09-03 13:38:02
COMP29,Connaissance des outils bureautiques et applications informatiques nécessaires au métier,well_held,2026-02-25 04:15:39
COMP115,Techniques de management,poorly_held,2025-12-29 05:14:35
COMP59,Maitriser les outils et Systèmes d'informations de la direction télécoms de l'OPT-NC,poorly_held,2026-02-25 23:48:57
COMP405,"Connaissance des produits et services de la BU (marché, produits et concurrence)",poorly_held,2026-04-08 05:56:29
COMP111,"Connaissance des instances, processus et circuits de décision de l'OPT-NC",poorly_held,2025-09-03 13:38:04
COMP65,Maîtrise des principes d'intégration continue et de livraison continue (CI/CD),poorly_held,2025-09-03 13:38:02
COMP529,"Manipuler un matériel, une marchandise, un armement",poorly_held,2025-09-03 13:38:40
COMP171,Connaissance de la réglementation du domaine,moderately_held,2025-09-03 13:38:07
COMP466,Archiver,moderately_held,2025-09-03 13:38:32
COMP444,"Maîtrise des outils de gouvernance des SI (TOGAF, COBIT, ITIL).",poorly_held,2025-09-03 13:38:30
COMP290,Périmètre d'intervention en fonction de ses qualifications et habilitations Techniques bâtiment second œuvre prenant en compte les spécialités de chaque corps d'état,poorly_held,2025-09-03 13:38:15
COMP508,Enquêter,poorly_held,2025-09-03 13:38:37
COMP354,Techniques d'analyse des comportements,poorly_held,2025-09-03 13:38:21
COMP337,Connaissance des outils et méthodes de tenue de planning.,poorly_held,2026-03-16 00:19:09
COMP408,"Connaissances des bases fondamentales du marketing, du développement et de la promotion d'une offre commerciale adaptée aux différents marchés (analyse du marché, mix marketing...)",poorly_held,2025-09-03 13:38:26
COMP457,"Analyser un projet, une démarche",moderately_held,2025-09-03 13:38:31
